,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
152,Vanderbilt University,Southern,51200.0,104000.0,49900.0,68100.0,147000.0,222000.0,
153,Davidson College,Southern,46100.0,104000.0,,70500.0,146000.0,,Liberal Arts
154,University of Virginia (UVA),Southern,52700.0,103000.0,52200.0,71800.0,146000.0,215000.0,State
155,George Washington University (GWU),Southern,47000.0,97900.0,48400.0,69600.0,132000.0,194000.0,
156,Texas A&M University,Southern,49700.0,96100.0,51100.0,71300.0,131000.0,171000.0,State
157,Tulane University,Southern,49100.0,95800.0,46500.0,64400.0,134000.0,185000.0,
158,Virginia Polytechnic Institute and State University (Virginia Tech),Southern,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0,Engineering
159,"University of Maryland, College Park",Southern,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,Party
160,"University of Maryland, College Park",Southern,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0,State
161,University of Richmond,Southern,48600.0,94600.0,44500.0,59400.0,151000.0,211000.0,Liberal Arts
162,University of Texas (UT) - Austin,Southern,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,Party
163,University of Texas (UT) - Austin,Southern,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0,State
164,Emory University,Southern,52000.0,91600.0,52500.0,63300.0,128000.0,192000.0,
165,"American University, Washington D.C.",Southern,45300.0,90800.0,45200.0,62400.0,134000.0,169000.0,
166,University of Tulsa,Southern,42400.0,88700.0,42300.0,60300.0,120000.0,197000.0,
167,Baylor University,Southern,48300.0,88600.0,46300.0,60700.0,130000.0,200000.0,
168,University of Florida (UF),Southern,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,Party
169,University of Florida (UF),Southern,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0,State
170,Louisiana State University (LSU),Southern,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,Party
171,Louisiana State University (LSU),Southern,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0,State
172,George Mason University,Southern,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0,State
173,Clemson University,Southern,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0,State
174,University of Georgia (UGA),Southern,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,Party
175,University of Georgia (UGA),Southern,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0,State
176,Auburn University,Southern,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0,State
177,University of Delaware,Southern,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0,State
178,Randolph-Macon College,Southern,42600.0,83600.0,,54100.0,123000.0,,Party
179,Randolph-Macon College,Southern,42600.0,83600.0,,54100.0,123000.0,,Liberal Arts
180,North Carolina State University (NCSU),Southern,47200.0,83300.0,49200.0,64800.0,112000.0,153000.0,State
181,University of Oklahoma,Southern,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0,State
182,University of Arkansas,Southern,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0,State
183,University of Alabama at Huntsville (UAH),Southern,43100.0,82700.0,46100.0,67800.0,106000.0,132000.0,State
184,Howard University,Southern,46900.0,81800.0,43300.0,60000.0,109000.0,138000.0,
185,University of North Carolina at Chapel Hill (UNCH),Southern,42900.0,81500.0,43400.0,57500.0,117000.0,155000.0,State
186,"University of Alabama, Tuscaloosa",Southern,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0,Party
187,"University of Alabama, Tuscaloosa",Southern,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0,State
188,University of Texas at Arlington (UTA),Southern,45400.0,80800.0,46400.0,61200.0,106000.0,138000.0,State
189,Oklahoma State University,Southern,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0,State
190,Tennessee Technological University,Southern,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0,Engineering
191,University of Houston (UH),Southern,46000.0,79900.0,42000.0,56200.0,106000.0,141000.0,State
192,University of Mississippi,Southern,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0,Party
193,University of Mississippi,Southern,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0,State
194,Lamar University,Southern,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0,State
195,Mississippi State University (MSU),Southern,44500.0,79300.0,43300.0,58800.0,108000.0,151000.0,State
196,University of Kentucky (UK),Southern,42800.0,78300.0,43000.0,57300.0,107000.0,149000.0,State
197,Texas Christian University (TCU),Southern,45100.0,78100.0,42600.0,56600.0,122000.0,183000.0,
198,West Virginia University (WVU),Southern,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0,Party
199,West Virginia University (WVU),Southern,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0,State
200,University of Maryland Baltimore County (UMBC),Southern,47000.0,77800.0,46900.0,59100.0,105000.0,130000.0,State
201,University of Louisiana (UL) at Lafayette,Southern,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0,State
202,Florida International University (FIU),Southern,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0,State
203,University of Tennessee,Southern,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0,Party
204,University of Tennessee,Southern,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0,State
205,University of Arkansas - Monticello (UAM),Southern,39200.0,74500.0,,46100.0,110000.0,,State
206,University of North Carolina at Charlotte (UNCC),Southern,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0,State
